"time","total","anger","sadness","joy","undefined"
2018-04-23 16:46:53.322960,15,3,6,1,5
2018-04-23 16:47:45.893059,9,2,3,0,4
2018-04-23 16:48:31.323780,1048,318,261,125,344
2018-04-23 16:50:11.185055,1069,298,320,117,334
2018-04-23 16:54:59.498178,6226,861,673,1618,3074
2018-04-23 17:27:33.892921,1,0,0,0,1
2018-04-23 17:28:08.921663,1,0,1,0,0
2018-04-23 17:29:20.087262,1,0,0,0,1
2018-04-24 09:40:47.086496,2555,394,372,409,1380
2018-04-24 11:46:55.241611,1,0,0,1,0
2018-04-24 11:47:05.045691,1,0,0,1,0
2018-04-24 11:47:15.797424,1,1,0,0,0
2018-04-24 11:47:25.725785,1,1,0,0,0
2018-04-24 18:02:57.478560,8717,1789,1725,1272,3931
2018-04-24 18:26:21.783805,1,0,0,1,0
2018-04-24 18:26:52.605770,15,3,6,1,5
2018-04-24 18:29:01.497790,1,0,0,0,1
2018-04-24 18:30:06.992476,1,0,1,0,0
2018-04-24 18:32:27.823880,1,0,0,0,1
2018-04-26 10:01:58.136592,15,3,6,1,5
2018-04-26 10:03:36.701287,1,0,0,0,1
2018-04-26 10:06:35.414085,1,0,0,0,1
2018-04-26 11:45:54.951382,15,3,6,1,5
2018-04-26 13:22:20.116436,1048,318,261,125,344
2018-04-26 13:58:59.470925,1066,94,607,25,340
2018-04-26 14:01:31.942777,1,0,0,0,1
2018-04-26 16:51:00.517618,15,3,6,1,5
2018-04-27 13:59:23.310927,1,0,1,0,0
2018-04-27 14:31:21.179437,1,0,1,0,0
2018-04-27 14:37:11.921185,15,3,6,1,5
2018-04-27 14:38:27.516914,1,0,0,1,0
2018-04-27 14:50:35.023549,15,3,6,1,5
2018-04-27 16:15:23.009717,1,0,0,0,1
2018-04-27 16:18:52.853552,1,0,0,1,0
2018-04-27 16:22:48.761955,1,0,0,0,1
2018-04-27 16:27:12.397606,1,0,0,1,0
2018-04-27 16:28:30.717889,1,0,0,1,0
2018-04-27 17:02:03.070534,1,0,0,1,0
2018-04-27 17:51:20.083761,1,0,0,1,0
2018-05-02 10:10:11.335785,15,3,6,1,5
2018-05-02 10:38:21.514206,15,5,4,1,5
2018-05-02 10:41:42.231303,1,0,0,0,1
2018-05-02 10:41:53.173837,1,0,0,0,1
2018-05-02 11:15:14.046568,1,0,0,1,0
2018-05-02 11:24:18.293467,1,0,0,0,1
2018-05-02 11:44:20.999434,2,0,0,1,1
2018-05-02 13:24:52.955328,1,1,0,0,0
2018-05-02 14:39:17.154950,15,5,4,1,5
2018-05-02 16:30:41.375620,15,5,4,1,5
2018-05-03 09:45:51.121194,15,5,4,1,5
2018-05-03 09:55:38.373161,15,5,4,1,5
2018-05-03 10:22:34.601140,1,1,0,0,0
2018-05-03 11:46:42.377141,15,5,4,1,5
2018-05-03 13:00:40.038134,1,0,0,1,0
2018-05-03 14:02:16.854490,1137,661,63,64,349
2018-05-04 09:43:34.116825,2555,416,269,496,1374
2018-05-04 09:48:33.055508,1,0,0,1,0
2018-05-04 09:48:49.080205,1,0,0,1,0
2018-05-04 10:30:49.572765,15,5,4,1,5
2018-05-04 11:05:54.021102,1,0,0,1,0
2018-05-04 11:07:16.865331,1,1,0,0,0
2018-05-04 11:09:55.889678,1,1,0,0,0
2018-05-04 11:10:36.779638,1,0,0,1,0
2018-05-04 11:11:05.981083,1,0,0,0,1
2018-05-04 11:13:32.087350,1,0,0,1,0
2018-05-04 11:17:03.664919,15,5,4,1,5
2018-05-04 11:24:17.609863,15,5,4,1,5
2018-05-04 11:26:20.159776,1,0,0,1,0
2018-05-04 11:27:09.337351,1,1,0,0,0
2018-05-07 13:28:07.229612,1001,41,32,485,443
2018-05-07 15:43:29.733662,1069,329,269,146,325
2018-05-07 17:10:37.833264,2,0,0,1,1
2018-05-08 10:01:25.146125,1066,416,193,139,318
2018-05-09 09:46:29.256780,15,5,4,1,5
2018-05-09 09:48:02.781325,1001,50,28,505,418
2018-05-09 09:49:32.820047,1066,416,193,139,318
2018-05-10 16:08:04.359698,1048,60,630,62,296
2018-05-10 16:10:11.304456,1001,50,28,505,418
2018-05-10 16:57:02.993063,1,0,0,0,1
2018-05-11 07:59:11.895682,1137,656,58,68,355
2018-05-11 08:00:49.587458,1066,416,193,139,318
