"day","total","anger","sadness","joy","undefined"
2018-04-20,8332,1485,1484,1823,3540
2018-04-21,7295,1188,1104,1685,3318
2018-04-22,9370,1782,1864,1961,3763
2018-04-23,8370,1482,1264,1861,3763
2018-04-24,11295,2188,2104,1685,5318
2018-04-26,2162,421,886,153,702
2018-04-27,40,6,14,8,12
2018-05-02,67,19,18,6,24
2018-05-03,1184,677,75,68,364
2018-05-04,2610,434,281,505,1390
2018-05-07,2072,370,301,632,769
2018-05-08,1066,416,193,139,318
2018-05-09,2082,471,225,645,741
2018-05-10,2050,110,658,567,715
2018-05-11,2218,1077,255,208,678
2018-05-14,2070,387,308,650,725
2018-05-15,2135,765,467,282,621
2018-05-16,2072,387,308,651,726
2018-05-17,6833,1308,877,1114,3534
2018-05-18,6256,805,681,1654,3116
2018-05-21,2586,448,289,458,1391
2018-05-22,6241,799,678,1653,3111
2018-05-23,8717,1804,1533,1432,3948
2018-05-24,6818,1149,911,1188,3570
2018-05-25,1090,398,226,151,315
2018-05-28,1063,52,663,51,297
2018-05-29,8721,1841,1429,1475,3976
2018-05-30,2555,387,287,498,1383
2018-05-31,6226,709,647,1777,3093
2018-06-01,6356,714,697,1803,3142
2018-06-06,1084,338,235,195,316
